text_column,label_column,processed_text,numeric_label
"berbuka puasa di sini pada minggu lepas , pak supir yang mencadangkan tempat makan ini . makanan nya di sini sedap dan harga berpatutan . tempat nya luas dan cantik . rekomendasi too others to dine in here to rasa authentic sunda makanan indonesia .",positive,"['buka', 'puasa', 'minggu', 'lepas', 'supir', 'cadang', 'makan', 'makan', 'sedap', 'harga', 'patut', 'luas', 'cantik', 'rekomendasi', 'too', 'others', 'to', 'dine', 'in', 'here', 'to', 'authentic', 'sunda', 'makan', 'indonesia']",2
hahaha suka banget nonton kartun indonesia keluarga pak tomat,positive,"['hahaha', 'suka', 'banget', 'nonton', 'kartun', 'indonesia', 'keluarga', 'tomat']",2
bagi teman-teman yang sedang berkunjung ke bandung bisa mampir ke kopi anjis untuk makan makanan yang tidak terlalu berat . ada cilok rakyat ditemankan dengan teh sereh dan lekker .,positive,"['teman', 'teman', 'kunjung', 'bandung', 'mampir', 'kopi', 'anjis', 'makan', 'makan', 'tidak_terlalu', 'berat', 'cilok', 'rakyat', 'teman', 'teh', 'sereh', 'lekker']",2
"di restoran ini , saya dan keluarga makan malam yang terakhir di bandung . kami berjumlah 8 orang dan bila nya hanya sekitar 400 an , benar-benar murah meriah , sampai makan double-double lagi . makanan nya juga enak , suasana kafe menarik , pelayanan sangat bagus . saya masih teringat petunjuk toilet yang ada di restoran ini men to the pergi , karena momen are selalu ribut hahahaha . setimpal .",positive,"['restoran', 'keluarga', 'makan', 'malam', 'bandung', '8', 'orang', '400', 'an', 'murah', 'riah', 'makan', 'double', 'double', 'makan', 'enak', 'suasana', 'kafe', 'tarik', 'layan', 'bagus', 'toilet', 'restoran', 'men', 'to', 'the', 'pergi', 'momen', 'are', 'ribut', 'hahahaha', 'timpal']",2
"alhamdulillah hari ini tidak ke jalan bugel agak kesal juga kalau tiap hari lewat sana melulu . sempit , dua arah , macet sudah jadi makanan sehari-hari",negative,"['alhamdulillah', 'tidak_ke', 'jalan', 'bugel', 'kesal', 'melulu', 'sempit', 'arah', 'macet', 'makan']",0
"respon agak lama , sama sayang nya rem nya bukan asli , masih rom distrobitor",negative,"['respon', 'sayang', 'rem', 'tidak_asli', 'rom', 'distrobitor']",0
lokasi dengan pemandangan alam yang masih natural dan indah . suasana juga sejuk dan tenang . hanya saja banyak nyamuk dan harga makanan relatif mahal .,positive,"['lokasi', 'pandang', 'alam', 'natural', 'indah', 'suasana', 'sejuk', 'tenang', 'nyamuk', 'harga', 'makan', 'relatif', 'mahal']",2
pdip sebut ridwan kamil menang karena berbaju merah,neutral,"['pdip', 'ridwan', 'kamil', 'menang', 'baju', 'merah']",1
malu - maluin nih oknum yang tidak bertanggung jawab .,negative,"['malu', 'maluin', 'nih', 'oknum', 'tidak_tanggung']",0
"makan siang di sini asyik juga . nuansa bali walaupun music nya musik sunda kadang musik khas bali bergantian . tempat nya enak dan adem tapi sayang sekali pesan kopi lama banget datang nya , diminta berkali kali , iya pak iya pak hampir 1 jam dan ketika kopi datang pun bukan kopi panas tapi kopi ade , ini kah ciri khas kopi di sini . kalau khas nya kopi dingin tidak enak .",negative,"['makan', 'siang', 'asyik', 'nuansa', 'bal', 'music', 'musik', 'sunda', 'kadang', 'musik', 'khas', 'bal', 'ganti', 'enak', 'adem', 'sayang', 'pesan', 'kopi', 'banget', 'kali', 'kali', 'iya', 'iya', '1', 'jam', 'kopi', 'tidak_kopi', 'panas', 'kopi', 'ade', 'kah', 'ciri', 'khas', 'kopi', 'khas', 'kopi', 'dingin', 'tidak_enak']",0
"tempat steak di bandung sejak lama dari zaman setiabudi sampai sekarang buka cabang di riau . tempat di riau ini lebih besar , parkiran juga tidak sulit seperti di setiabudi . lokasi di tempat kuliner jalan riau . porsi dan harga nya pas untuk ukuran steak . untuk zoom non smoking nya nyaman .",positive,"['steak', 'bandung', 'zaman', 'setiabudi', 'buka', 'cabang', 'riau', 'riau', 'parkir', 'tidak_sulit', 'setiabudi', 'lokasi', 'kuliner', 'jalan', 'riau', 'porsi', 'harga', 'pas', 'ukur', 'steak', 'zoom', 'non', 'smoking', 'nyaman']",2
"08:30 : kedatangan presiden ri dan rombongan di gate 2 , terminal 3 disambut oleh menteri perhubungan , menteri bumn , gubernur banten , dirjen perkeretaapian kemhub , dirut ap2 , dirut pt kami , dan dirut railink",neutral,"['08', '30', 'presiden', 'ri', 'rombong', 'gate', '2', 'terminal', '3', 'sambut', 'menteri', 'hubung', 'menteri', 'bumn', 'gubernur', 'banten', 'dirjen', 'perkeretaapian', 'kemhub', 'dirut', 'ap2', 'dirut', 'pt', 'dirut', 'railink']",1
makanan tradisional yang selalu rasanya stabil iga garang asam nya dan java steak nya jangan lupa ya dicoba hidangan penutup semua kue enak lemper soes fla gulung . enak sekali tidak ada yang tidak enak kalau makanan di sini .,positive,"['makan', 'tradisional', 'stabil', 'iga', 'garang', 'asam', 'java', 'steak', 'lupa', 'ya', 'coba', 'hidang', 'tutup', 'kue', 'enak', 'lemper', 'soes', 'fla', 'gulung', 'enak', 'tidak_ada', 'tidak_enak', 'makan']",2
"sampai saat ini saya rasa batagor ini masih yang terenak di kota bandung dibandingkan dengan batagor lainnya yang saya pernah coba . bumbu kacang nya pas rasanya di lidah , dan batagor nya juga tidak amis bau nya . silakan mencoba untuk yang belum pernah coba .",positive,"['batagor', 'enak', 'kota', 'bandung', 'banding', 'batagor', 'coba', 'bumbu', 'kacang', 'pas', 'lidah', 'batagor', 'tidak_amis', 'bau', 'sila', 'coba', 'coba']",2
"aroma khas yang ada jika makan di atas daun pisang , ya walau ramai tempat ini selalu jadi favourit saya jika ke bandung .",positive,"['aroma', 'khas', 'makan', 'daun', 'pisang', 'ya', 'ramai', 'favourit', 'bandung']",2
"akhir tahun lalu saya dan keluarga berjalan ke daerah lembang dan tidak sengaja mampir makan di resto ini . suasana nya nyaman , pelayanan juga ramah dan berlebihan ala kami puas . makanan yang di sajikan standar seperti makanan di restoran pada umum nya , tetapi yang membuat berbeda adalah sambal stroberi yang yummy dan bikin ketagihan . di sana selain bisa makan kita juga bisa sambil memetik . lanjutan",positive,"['keluarga', 'jalan', 'daerah', 'lembang', 'tidak_sengaja', 'mampir', 'makan', 'resto', 'suasana', 'nyaman', 'layan', 'ramah', 'ala', 'puas', 'makan', 'saji', 'standar', 'makan', 'restoran', 'beda', 'sambal', 'stroberi', 'yummy', 'bikin', 'tagih', 'makan', 'petik']",2
risma menjatuhkan pilihan nya pada gus ipul - puti di pilgub jatim 2018 ini .,neutral,"['risma', 'jatuh', 'pilih', 'gus', 'ipul', 'puti', 'pilgub', 'jatim', '2018']",1
"pengalaman yang cukup seru , makan tanpa alas piring , tapi hanya dengan alas daun , makin nikmat . makanan sunda yang sangat bervariatif dan cukup enak . tips nya : jangan terbawa emosi dan kalap memesan dan memilih semua makanan yang disediakan biasanya kalap kalau sudah melihat makanan macam-macam begitu . pilih seperlunya .",positive,"['alam', 'seru', 'makan', 'alas', 'piring', 'alas', 'daun', 'nikmat', 'makan', 'sunda', 'variatif', 'enak', 'tips', 'bawa', 'emosi', 'kalap', 'mes', 'pilih', 'makan', 'sedia', 'kalap', 'lihat', 'makan', 'pilih']",2
"makanan nya enak , suasana nyaman . harga bisa dibilang sama dengan tempat lain . restoran ini ada 4 konsep tapi yang paling terkenal menu jepang nya yang enak loh",positive,"['makan', 'enak', 'suasana', 'nyaman', 'harga', 'bilang', 'restoran', '4', 'konsep', 'kenal', 'menu', 'jepang', 'enak', 'loh']",2
kampung daun adalah tempat makan yang menyatukan konsep alam dan budaya dari daerah setempat . walaupun di dalam kompleks perumahan akan tetapi tempat tersebut cukup luas mempunyai mungkin sekitar 20 lebih saung / tempat makan dari yang kapasitas sedang hingga besar . kualitas makanan enak dan dengan ada nya suara riak air dari air terjun kecil di sana membuat suasana sangat nyaman untuk makan .,positive,"['kampung', 'daun', 'makan', 'konsep', 'alam', 'budaya', 'daerah', 'kompleks', 'rumah', 'luas', '20', 'saung', 'makan', 'kapasitas', 'kualitas', 'makan', 'enak', 'suara', 'riak', 'air', 'air', 'terjun', 'suasana', 'nyaman', 'makan']",2
"waktu itu ke sini pesan nasi goreng dan kentang goreng , nasi goreng nya semua suka . kentang goreng nya enak banget , dan presentasi nya bagus . keluarga bilang kopi nya enak . hal yang sangat baik di sini adalah tempat nya luas dan yang di luar bisa lihat pemandangan dusun bambu , tapi pelayanan nya tidak cepat sehingga saya harus bertanya beberapa kali tentang pesanan saya . harga nya cukup mahal , namun karena makanan nya enak semua jadi terbayarkan . tidak perlu pikir dua kali jika mau ke tempat ini lagi .",positive,"['pesan', 'nasi', 'goreng', 'kentang', 'goreng', 'nasi', 'goreng', 'suka', 'kentang', 'goreng', 'enak', 'banget', 'presentasi', 'bagus', 'keluarga', 'bilang', 'kopi', 'enak', 'baik', 'luas', 'lihat', 'pandang', 'dusun', 'bambu', 'layan', 'tidak_cepat', 'kali', 'pesan', 'harga', 'mahal', 'makan', 'enak', 'bayar', 'tidak_perlu', 'pikir', 'kali']",2
"banyak sekali tempat makan sunda yang bertebaran di kota bandung , tetapi tidak tahu kenapa saya sangat jatuh hati dengan sebuah warung makan ini . ibu imas yang berada di dekat alun-alun kota bandung menyuguhkan rumah makan sunda dengan karakter warung nasi zaman dahulu yang di mana kita bisa mengambil semua hidangan di depan kita tanpa harus melalui proses order yang biasa kita jumpai di warung makan .",positive,"['makan', 'sunda', 'tebar', 'kota', 'bandung', 'tidak_tahu', 'jatuh', 'hati', 'buah', 'warung', 'makan', 'imas', 'alun', 'alun', 'kota', 'bandung', 'suguh', 'rumah', 'makan', 'sunda', 'karakter', 'warung', 'nasi', 'zaman', 'ambil', 'hidang', 'proses', 'order', 'jumpa', 'warung', 'makan']",2
hai tolong bantu saya tidak bisa input tidak resi jne dan kenomor resi sudah dipakai .,neutral,"['hai', 'tolong', 'bantu', 'tidak_bisa', 'input', 'tidak_resi', 'jne', 'nomor', 'resi', 'pakai']",1
"foods : menu baru cheeseburger nya oke banget dan chicken wings pizza hut memang selalu juara . dirilis : mixing green tea yakult , perfect ! satu-satunya kekurangan pizza hut adalah pinggiran nya ,",positive,"['foods', 'menu', 'cheeseburger', 'oke', 'banget', 'chicken', 'wings', 'pizza', 'hut', 'juara', 'rilis', 'mixing', 'green', 'tea', 'yakult', 'perfect', 'pizza', 'hut', 'pinggir']",2
dusun bambu ini tergolong baru di bandung . tempat nya yang dekat banget sama almamater saya . membuat saya gampang cari ini tempat . pemandangan nya bagus . banyak tempat makan yang enak-enak . beli nya nanti pakai voucher .,positive,"['dusun', 'bambu', 'golong', 'bandung', 'banget', 'almamater', 'gampang', 'cari', 'pandang', 'bagus', 'makan', 'enak', 'enak', 'beli', 'pakai', 'voucher']",2
tidak memuaskan,negative,['tidak_muas'],0
suruh ngaca pemain nya ! dasar oneng ! ngomong saja masih ala betawi lu ! kampungan !,negative,"['suruh', 'ngaca', 'main', 'dasar', 'oneng', 'ngomong', 'ala', 'betawi', 'lu', 'kampung']",0
"kafe ini menyajikan sensasi makan dalam gelap . cukup unik sih , tetapi lebih dari sekali , rasanya orang jarang datang lagi . hanya menarik untuk sekadar mencoba .",negative,"['kafe', 'saji', 'sensasi', 'makan', 'gelap', 'unik', 'orang', 'jarang', 'tarik', 'coba']",0
"sesuai dengan nama nya mi awie , kedai makan ini menyediakan menu mi dengan olahan daging babi . selain mi masih ada pilihan lainnya seperti nasi goreng babi , capjay goreng , bakso , pangsit dan lainnya . kami mencoba menu mi babi casau special , rasanya . enak banget !",positive,"['sesuai', 'nama', 'mi', 'awie', 'kedai', 'makan', 'sedia', 'menu', 'mi', 'olah', 'daging', 'babi', 'mi', 'pilih', 'nasi', 'goreng', 'babi', 'capjay', 'goreng', 'bakso', 'pangsit', 'coba', 'menu', 'mi', 'babi', 'casau', 'special', 'enak', 'banget']",2
"mardani ali sera : kemenangan di sosial media , akan selalu kemenangan di dunia nyata .",neutral,"['mardani', 'ali', 'sera', 'menang', 'sosial', 'media', 'menang', 'dunia', 'nyata']",1
"terakhir ke tempat ini beberapa tahun yang lalu ketika masih berupa kafe , sekaramg sudah jadi penginapan dan boutique hotel . untuk yang travel bareng anak-anak pasti suka menginap di sini . ada playground yang seru , swimming pool , high rope , flying fox kalau menginap dapat tiket gratis dan petik stroberi perlu pesan - karena suka ramai . menginap di sini banyak pilihan kamar . enak .",positive,"['upa', 'kafe', 'sekaramg', 'inap', 'boutique', 'hotel', 'travel', 'bareng', 'anak', 'anak', 'suka', 'inap', 'playground', 'seru', 'swimming', 'pool', 'high', 'rope', 'flying', 'fox', 'inap', 'tiket', 'gratis', 'petik', 'stroberi', 'pesan', 'suka', 'ramai', 'inap', 'pilih', 'kamar', 'enak']",2
selamat pagi . wah kecewa berat masa indihome internet tidak kocek lagi . saya itu bayar mahal . jangan kecewakan kami sebagai pelanggan,negative,"['selamat', 'pagi', 'kecewa', 'berat', 'indihome', 'internet', 'tidak_kocek', 'bayar', 'mahal', 'kecewa', 'langgan']",0
. pokok nya kurang kurang afdol kalau ke lembang atau ke bandung tidak mampir ke sini . 4 humas naik buat kampung daun .,positive,"['pokok', 'afdol', 'lembang', 'bandung', 'tidak_mampir', '4', 'humas', 'kampung', 'daun']",2
"kfc bandung supermall fasilitas nya lengkap luas , agak jarang ditemukan dikfc lainnya . keramahtamaan karyawan nya juga sangat bagus",positive,"['kfc', 'bandung', 'supermall', 'fasilitas', 'lengkap', 'luas', 'jarang', 'temu', 'dikfc', 'keramahtamaan', 'karyawan', 'bagus']",2
"restoran sapu lidi memilik keunikan tersendiri , serasa makan di tengah sawah , dikelilingin kolam ikan dan juga nuansa persawahan . menu nya seperti makanan sunda lainnya , tapi ada satu menu favorit saya , jamur bakar , enak banget .",positive,"['restoran', 'sapu', 'lidi', 'milik', 'uni', 'serasa', 'makan', 'sawah', 'dikelilingin', 'kolam', 'ikan', 'nuansa', 'sawah', 'menu', 'makan', 'sunda', 'menu', 'favorit', 'jamur', 'bakar', 'enak', 'banget']",2
"semua enak . mi abu-abu , mi black , tahu cocol dan sayap ayam nya mantap . buat makan camilan bisa di sini .",positive,"['enak', 'mi', 'abu', 'abu', 'mi', 'black', 'cocol', 'sayap', 'ayam', 'mantap', 'makan', 'camil']",2
"nkri bersyariah , fpi , revolusi akhlaq , suara keadilan , __laugh__ semua pada tersandung kasus , fpi , ulama nya tersandung obrolan mesum tidak berani pulang , nkri bersyariah , berarti tidak mengamalkan pancasila , sungguh miris ,",negative,"['nkri', 'bersyariah', 'fpi', 'revolusi', 'akhlaq', 'suara', 'adil', 'laugh', 'sandung', 'fpi', 'ulama', 'sandung', 'obrol', 'mesum', 'tidak_berani', 'pulang', 'nkri', 'bersyariah', 'arti', 'tidak_amal', 'pancasila', 'sungguh', 'miris']",0
bikin macet saja nih orang,negative,"['bikin', 'macet', 'nih', 'orang']",0
singapura selidiki penjualan prt indonesia di situs daring,neutral,"['singapura', 'selidik', 'jual', 'prt', 'indonesia', 'situs', 'daring']",1
"pergi merayakan ulang tahun di tempat ini sangat berkesan , saya dengan istri memilih tempat ini , menu makanan variatif , dari makanan barat sampai lokal ada , sedia baju hangat . dingin sangat di sini .",positive,"['pergi', 'raya', 'ulang', 'kesan', 'istri', 'pilih', 'menu', 'makan', 'variatif', 'makan', 'barat', 'lokal', 'sedia', 'baju', 'hangat', 'dingin']",2
"sampai kapan pun saya tidak akan memilih orang pengecut seperti prabowo . menurut saya , dia tidak pantas memimpin negara .",negative,"['tidak_akan', 'pilih', 'orang', 'kecut', 'prabowo', 'tidak_pantas', 'pimpin', 'negara']",0
"jangan terlalu banyak iklan , perbaiki dulu jaringan kalian yang lamban",negative,"['iklan', 'baik', 'jaring', 'lamban']",0
"kalau orang tiongkok masuk indonesia baru bisa maju , kalau andalkan orang pribumi otak nya jongkok",negative,"['orang', 'tiongkok', 'masuk', 'indonesia', 'maju', 'andal', 'orang', 'pribumi', 'otak', 'jongkok']",0
cepat respon . pengiriman kilat . dan ramah . setelah akhirnya saya berputar-putar di toko lain yang tidak jelas . saya bertemu toko juragan ini yang pelayanan nya sangat memuaskan . tangkap sangat juragan .,positive,"['cepat', 'respon', 'kirim', 'kilat', 'ramah', 'putar', 'putar', 'toko', 'tidak_jelas', 'temu', 'toko', 'juragan', 'layan', 'muas', 'tangkap', 'juragan']",2
"sok pencitraan sekali , basi sama gaya lu . lebih wibawa yang seragam coklat top deh buat pak anies .",negative,"['sok', 'citra', 'basi', 'gaya', 'lu', 'wibawa', 'seragam', 'coklat', 'top', 'deh', 'anies']",0
ke sini beberapa tahun yang lalu bersama teman-teman . suasana nya sangat menyenangkan dengan pemandangan yang bagus dan hawa dingin yang menyegarkan . akan lebih baik datang ke sini pada malam hari . steak nya enak .,positive,"['teman', 'teman', 'suasana', 'senang', 'pandang', 'bagus', 'hawa', 'dingin', 'segar', 'baik', 'malam', 'steak', 'enak']",2
"dari saya debut . empat bagus tetapi yang bikin suka sekali itu tonight dengan saranghajima . tidak mengerti apa aku saja atau yang lain merasakan ini , winner adalah abang selain bigbang yang kalau nyanyi jiwa nya ikutan nyanyi . bagus banget . dan makin cinta dengan mereka setelah tahu sifat dan sikap saya .",positive,"['debut', 'bagus', 'bikin', 'suka', 'tonight', 'saranghajima', 'tidak_erti', 'winner', 'abang', 'bigbang', 'nyanyi', 'jiwa', 'nyanyi', 'bagus', 'banget', 'cinta', 'sifat', 'sikap']",2
sangat melelahkan malam ini .,negative,"['lelah', 'malam']",0
marah,negative,['marah'],0
"tidak dong . aku pilih sby , eh pilih prabowo maksude . dan yang akan datang aku pilih yang selain jokowi seperti biasanya yang selain dari partai banteng moncong tepung . grinningfacewithsmilingeyes",negative,"['tidak_dong', 'pilih', 'sby', 'eh', 'pilih', 'prabowo', 'maksude', 'pilih', 'jokowi', 'partai', 'banteng', 'moncong', 'tepung', 'grinningfacewithsmilingeyes']",0
"puas dengan servis nya , ramah ! harga nya sebanding dengan pelayanan dan rasanya . pemandangan nya yang keren banget , cocok buat acara ngumpul bareng teman dan keluarga ! pokok nya rekomendasi sekali ! tidak menyesal deh , pokok nya harus ke sini lagi ! saya dilayani oleh feriyana yang super ramah dan baik , pokok nya buat teman-teman the 18th ini recommened sekali !",positive,"['puas', 'servis', 'ramah', 'harga', 'banding', 'layan', 'pandang', 'keren', 'banget', 'cocok', 'acara', 'ngumpul', 'bareng', 'teman', 'keluarga', 'pokok', 'rekomendasi', 'tidak_sesal', 'deh', 'pokok', 'layan', 'feriyana', 'super', 'ramah', 'baik', 'pokok', 'teman', 'teman', 'the', '18th', 'recommened']",2
"ini pertama kali saya makan abuba steak di luar jakarta . rasanya agak berbeda dengan yang saya biasa nikmati di abuba steak jakarta . kurang enak . suasana restoran nya oke . toilet nya sudah agak tua , harus sedikit diperbaharui",negative,"['kali', 'makan', 'abuba', 'steak', 'jakarta', 'beda', 'nikmat', 'abuba', 'steak', 'jakarta', 'enak', 'suasana', 'restoran', 'oke', 'toilet', 'tua', 'baharu']",0
ini xl jaringan nya jelek banget ya,negative,"['xl', 'jaring', 'jelek', 'banget', 'ya']",0
saya puas dengan games mobile legend,positive,"['puas', 'games', 'mobile', 'legend']",2
"saya bersama rekan kerja sengaja mencoba makan siang di sambal khas karmila cab . buah batu bandung , untuk tempat terbilang cozzy dan cukup nyaman jika di lantai atas , sedangkan lantai dasar saya rasa tidak lebih dari tempat makan makanan cepat saji yang cukup penuh dengan hiruk pikuk pelanggan . rasa ayam bakar di sini sangat saya rekomendasikan bersama sambal mangga . terkait harga terbilang relative .",positive,"['rekan', 'kerja', 'sengaja', 'coba', 'makan', 'siang', 'sambal', 'khas', 'karmila', 'cab', 'buah', 'batu', 'bandung', 'bilang', 'cozzy', 'nyaman', 'lantai', 'lantai', 'dasar', 'tidak_lebih', 'makan', 'makan', 'cepat', 'saji', 'penuh', 'hiruk', 'pikuk', 'langgan', 'ayam', 'bakar', 'rekomendasi', 'sambal', 'mangga', 'kait', 'harga', 'bilang', 'relative']",2
